Key,Name,Status,Definition,Abbreviations,Aliases,AdditionalNotes,Stewards,RelatedGlossaries,TermEntityType,ParentGlossary
,SEO (Search Engine Optimization),,"The process of optimizing a web site (e.g., identifying and placing targeted keywords on web pages) to ensure the site places well when queried on search engines. It is important for corporate web sites to optimize their visibility on search engines. See http://hrmarketer.blogspot.com/2005/04/seo-industry-gold-rush-or-fools-gold.html .",,,,admin,,Business Terms,Human Resources
,Share capital ,,Name given to the total amount of cash which the shareholders have contributed to the company.,,,,admin,,Business Terms,Accounting
,Share certificate ,,A document providing evidence of share ownership.,,,,admin,,Business Terms,Accounting
,Shareholders ,,Owners of a limited liability company.,,,,admin,,Business Terms,Accounting
,Share premium ,,The price paid for shares in a company over and above their nominal value.,,,,admin,,Business Terms,Accounting
,Short-term disability,,"Disability income insurance designed to replace employee income for a temporary, specified time frame while they are unable to perform their duties due to illness or injury, before they return to work.",,,,admin,,Business Terms,Human Resources
,SHRM,,"Their self-definition: ?The Society for Human Resource Management (SHRM) is the world?s largest association devoted to human resource management. Representing more than 250,000 members in over 140 countries, the Society serves the needs of HR professionals and advances the interests of the HR profession.?",,,,admin,,Business Terms,Human Resources
,Situational leadership,,"A management theory stating that effective leadership varies, but is task-relevant, and the most successful leaders are those that adapt their leadership style to the maturity of their audience.",,,,admin,,Business Terms,Human Resources
,Six Sigma,,"Six Sigma is a disciplined, data-driven methodology used to improve the quality of process outputs by identifying and removing the causes of defects and minimizing variability in manufacturing and business processes.  It also cuts costs from manufacturing by creating a special infrastructure of people that are experts in these methods.",,,,admin,,Business Terms,Human Resources
,Skill,,,,,,admin,,Business Terms,Human Resources
,Social Collaboration,,"Processes that help multiple people within an organization interact, share information to achieve common goals. Globalization and the rise of contingent workforces and telecommuting have given increased importance to social collaboration and social collaboration software.",,,,admin,,Business Terms,Human Resources
,Social Currency (online),,"A measure of a person?s power, or influence, within a defined social group. Factors contributing to one's social currency are their visibility, activity and following on social networks like Twitter, LinkedIn, Facebook, Blogs.",,,,admin,,Business Terms,Human Resources
,Social HR,,"The extent to which human resource departments leverage social media tools (Facebook, LinkedIn, Twitter, etc.) to conduct human resource activities (recruiting, employment branding, etc.) aimed at aligning HR goals to the company?s business goals.",,,,admin,,Business Terms,Human Resources
,Social Media,,"Forms of electronic communication (as Web sites for social networking and microblogging) through which users create online communities to share information, ideas, personal messages, and other content (as videos).",,,,admin,,Business Terms,Human Resources
,Social Media Background Screening,,Using publicly available social media profiles of job candidates in the hiring decision process. Typically done after a company has extended or is about to extend and offer to a candidate. Recruiters and employers need to be aware of governing bodies like the Equal Employment Opportunity Commission (EEOC) and the Office of Federal Contract Compliance Programs (OFCCP) when conducting social media screening to avoid discrimination.,,,,admin,,Business Terms,Human Resources
,Social Networking,,"The building of online communities of people who have common interests. LinkedIn, Facebook and MySpace facilitate these interconnected systems. HR departments have begun to incorporate social networking into the recruiting process as a means to attract and evaluate candidates.",,,,admin,,Business Terms,Human Resources
,Social Recruitment ,,"The process of recruiting potential job candidates through the use of social networking platforms and/or websites such as Twitter, Facebook and LinkedIn. Social recruitment software is used to search social networks for passive candidate information, manage active social recruiting efforts, as well as distribute job postings and information related to open positions to job posting websites.",,,,admin,,Business Terms,Human Resources
,Society,,,,,,admin,,Business Terms,Company Wide
,Sole trader ,,An individual owning and operating a business alone.,,,,admin,,Business Terms,Accounting
,Sourcing,,"The developing of lists of potential candidates. Also relates to the task of requisitioning, or creating job descriptions, approval workflows and actual job postings. Most e-recruitment software providers include modules for requisitioning.",,,,admin,,Business Terms,Human Resources
,SPHR (Senior Professional in Human Resources),,"Senior Professional in Human Resources (PHR) is an industry certification for people working in the human resource management profession, awarded by the Human Resource Certification Institute. It is the senior-most human resources certification for those who have also demonstrated a strategic mastery of the HR body of knowledge.",,,,admin,,Business Terms,Human Resources
,Staff,,,,,,admin,,Business Terms,Human Resources
,Staffing,,"A method of finding, evaluating, and establishing a working relationship with future employees. They may be current employees or future employees.",,,,admin,,Business Terms,Human Resources
,Stakeholders ,,A general term devised to indicate all those who might have a legitimate interest in receiving financial information about a business because they have a �stake� in it.,,,,admin,,Business Terms,Accounting
,Start Date,,,,,,admin,,Business Terms,Human Resources
,Stay Interviews,,"unlike exit interviews, stay interviews are conducted during employment to help employers understand why good employees stay and what might make them leave.",,,,admin,,Business Terms,Human Resources
,Stock ,,A word with two different meanings. It may be used to describe an inventory of goods held for resale or for use in business. It may also be used to describe shares in the ownership for a company. The meaning will usually be obvious from the way in which the word is used.,,,,admin,,Business Terms,Accounting
,Strategic HRM,,Aligning human resource management (HRM) with the strategic goals of an organization.,,,,admin,,Business Terms,Human Resources
,Strategic Planning,,"The process of considering an organization?s future, usually three to five years ahead, and then working backward to create strategic plans and allot resources to realize this desired future state. This includes a hiring strategy.",,,,admin,,Business Terms,Human Resources
,Succession Planning,,"The process of identifying long-range needs and cultivating a supply of internal talent to meet those future needs. Used to anticipate the future needs of the organization and assist in finding, assessing and developing the human capital necessary to the strategy of the organization.",,,,admin,,Business Terms,Human Resources
,Summary dismissal,,"The immediate firing of an employee, usually due to an act of gross misconduct.",,,,admin,,Business Terms,Human Resources
,Summary material modifications,,A summary of modifications or changes made to an employee benefit plan that is not included in the summary plan description.,,,,admin,,Business Terms,Human Resources
,Summary plan description,,"A document that explains the fundamental features of an employer's defined benefit or defined contribution plan, including eligibility requirements, contribution formulas, vesting schedules, benefit calculations, distribution options, participation, coverage and employee rights for any ERISA-covered benefit plan. ERISA requires that the SPD be easy to understand and that each participant receive a copy within 90 days of joining the plan.",,,,admin,,Business Terms,Human Resources
,Supplemental Unemployment Benefits (SUB),,"Pay benefits which are taxable payments that form a fund, which can be combined with state unemployment insurance benefits. Typically found in collective bargaining agreements, they provide a higher level of unemployment benefits during periods of temporary layoff.",,,,admin,,Business Terms,Human Resources
,SurName,,,,,,admin,,Business Terms,Human Resources
,Surname,,,,,,admin,,Business Terms,Company Wide
,Suspension,,"An employee is sent home for a period of time, usually without pay, as a disciplinary measure.",,,,admin,,Business Terms,Human Resources
,Systemic discrimination,,"A pattern of discrimination that permeates workplace practices, and is not apparent at first glance, but is actually systematic in its application of policies and practices.",,,,admin,,Business Terms,Human Resources
,Talent Management,,"Also called Human Capital Management, the process of recruiting, managing, assessing, developing and maintaining employees.",,,,admin,,Business Terms,Human Resources
,Tangible fixed assets ,,A fixed asset (also called a non-current asset) which has a physical existence. Used to differentiate it from an Intangible fixed asset.,,,,admin,,Business Terms,Accounting
,Tangible rewards,,"Gifts in the form of merchandise, gift certificates, etc. that can be physically held or touched.",,,,admin,,Business Terms,Human Resources
,Team building,,"A philosophy of job design which fosters teamwork to create a work culture that values collaboration. It is a training program designed to encourage employees to view themselves as members of interdependent teams instead of as individual workers, in which people understand and believe that thinking, planning, decisions and actions are better when done cooperatively.",,,,admin,,Business Terms,Human Resources
,Third-Party Administrator (TPA),,An organization that is responsible for the administration of insurance for a self-insured group. It does not have any responsibility for paying claims. The self-insured group is financially responsible. (See self-insured group),,,,admin,,Business Terms,Human Resources
,Total quality management,,"An integrative philosophy of management for continuously improving the quality of products and processes. Practices and systems include: cross-functional product design, process management, supplier quality management, customer involvement, information and feedback, committed leadership, strategic planning, cross-functional training, and employee involvement.",,,,admin,,Business Terms,Human Resources
,Total Remuneration,,"An employee?s complete annual pay package, including benefit and pension plans, bonuses, incentives, and paychecks.",,,,admin,,Business Terms,Human Resources
,Trade creditors ,,Persons or businesses who supply goods or services to a business in the normal course of trade and allow a period of credit before payment must be made.,,,,admin,,Business Terms,Accounting
,Trade debtors ,,Persons or businesses who buy goods or services from a business in the normal course of trade are allowed a period of credit before payment is due.,,,,admin,,Business Terms,Accounting
,Training and development,,Providing information and instruction that equips employees to better perform specific tasks or attain a higher level of knowledge.,,,,admin,,Business Terms,Human Resources
,Training Course,,,,,,admin,,Business Terms,Human Resources
,Training History,,,,,,admin,,Business Terms,Human Resources
,Training Needs Analysis,,"An assessment to determine the training needs of a group of employees, taking into account the employees? prior education and skills and the desired outcome once training is completed.",,,,admin,,Business Terms,Human Resources
,Transformational leadership,,"A systematic form of leadership that enhances the motivation, morale and performance of followers through change, innovation, and group dynamics.",,,,admin,,Business Terms,Human Resources
,Transitional employment,,"The arrangement of lessened or altered duties for an employee who has been absent from the workplace because of illness or injury, but has been given leave by their medical provider to return.",,,,admin,,Business Terms,Human Resources
,Turnover,,The number of employees lost and gained over a given time period.,,,,admin,,Business Terms,Human Resources
,Turnover ,,The sales of a business or other form of revenue from operations of the business.,,,,admin,,Business Terms,Accounting
,Underwriter,,A person or organization that ensures money will be available to pay for losses that are insured. An insurance company can be considered an underwriter.,,,,admin,,Business Terms,Human Resources
,Unfair labor practice (ULP),,"An action carried out by an employer or union that violates the Federal Service Labor-Management Relations Statute, part of the National Labor Relations Act (NLRA), and would be investigated by the National Labor Relations Board (NLRB).",,,,admin,,Business Terms,Human Resources
,Union,,"Workers who organize a united group, usually related to the kind of work they do, to collectively bargain for better work conditions, pay or benefit increases, etc.",,,,admin,,Business Terms,Human Resources
,Unjustifiable dismissal,,Firing an employee in a way that the courts do not find justifiable (i.e. unfairly or in violation of the employment contract).,,,,admin,,Business Terms,Human Resources
,Unscheduled time off,,Absence from work during regular work hours that was not scheduled in advance by the employee (e.g. sickness). Absences are generally accepted and sometimes compensated if their frequency and rationale fall within an organization's attendance policy.,,,,admin,,Business Terms,Human Resources
,Vacation Days,,,,,,admin,,Business Terms,Human Resources
,Viral Marketing,,"Any marketing technique that induces people (or web sites) to pass on a marketing message to other people or sites, creating a growth in the message's visibility and effect. A classic example of this concept was Hotmail whereby each email sent via Hotmail included Hotmail's own advertisement in the footer (Get your Free Email....).""",,,,admin,,Business Terms,Human Resources
,Virtual HR,,"The use of various types of technology to provide employees with self-serve options. Voice response systems, employee kiosks are common methods.",,,,admin,,Business Terms,Human Resources
,Visitor,,,,,,admin,,Business Terms,Human Resources
,Voluntary Benefits,,"Benefits that are paid for by the employee through payroll deductions. The employer pays for administration. Examples of these benefits include life insurance, dental, vision, disability income, auto insurance, long-term care coverage, medical supplement plans and homeowners insurance.",,,,admin,,Business Terms,Human Resources
,Volunteerism,,"How a company supports an employee who wishes to volunteer or otherwise offer unpaid services to a community organization, often by providing paid leave of sponsorship.",,,,admin,,Business Terms,Human Resources
,Wage drift,,"The difference between basic pay and total earnings, due to a variety of possible factors such as overtime, bonuses, gender, age and performance.",,,,admin,,Business Terms,Human Resources
,Whistle blower,,An employee who publicly reveals wrongdoing taking place within his/her company. Whistle blowers are protected from retaliation by the Protected Disclosures Act of 2000.,,,,admin,,Business Terms,Human Resources
,Workers Compensation,,"A form of insurance to reimburse employees who are injured or contract an illness in the course of preforming their job, in exchange for mandatory relinquishment of the employee's right to sue his or her employer for the sort of negligence. Laws vary by state, but employers are required to carry appropriate workers? compensation insurance, to ensure sufficient funding to cover the types of injures that are likely to occur in their workplace. Such insurance types include disability insurance, health insurance, life insurance, or a wage replacement provision.",,,,admin,,Business Terms,Human Resources
,Workforce Planning,,The assessment of the current workforce in order to predict future needs. This can consist of both demand planning and supply planning. Many e-recruitment software providers include modules for workforce planning.,,,,admin,,Business Terms,Human Resources
,Working capital ,,Finance provided to support the short-term assets of the business (stocks and debtors) to the extent that these are not financed by short-term creditors. It is calculated as current assets minus current liabilities.,,,,admin,,Business Terms,Accounting
,Work-in-progress ,,"Cost of partly completed goods or services, intended for completion and recorded as an asset. Akin to stocks.",,,,admin,,Business Terms,Accounting
,Work-life Balance,,"The attempt to balance work and personal life in order to have a better quality of life. A person with a balanced life is an asset to his or her business, as he or she experiences greater fulfillment at work and at home.",,,,admin,,Business Terms,Human Resources
,Work/Life Employee Benefits,,"Work/Life benefits are non-traditional"" employee benefits that assist employees in managing their lives. Employers purchase these services from vendors and they are offered to employees as benefits. These services can make the difference in attracting and retaining employees. Common life management benefits include: child and elder care referral services",,,,admin,,Business Terms,Human Resources
,XML and HR-XML,,"Extensible Markup Language. A common system used for defining data. Unlike HTML, XML is not a fixed set of elements. XML allows information creators to apply descriptive markup (or tags"") around each discrete element of data. The HR-XML Consortium strives to spare employers and vendors the risk and expense of having to negotiate and agree upon data interchange mechanisms on an ad-hoc basis. By using XML",,,,admin,,Business Terms,Human Resources
